District,Production(Tonnes),Mean Price(Rs./Quintal)
Kottur_2008_8_August,5,757
Kunigal_2008_8_August,214,750
Madhugiri_2008_8_August,1,800
Malur_2008_8_August,8,850
Mysore (Bandipalya)_2008_8_August,370,756
Nagamangala_2008_8_August,710,762
Piriya Pattana_2008_8_August,32,730
Ranebennur_2008_8_August,10,901
Shimoga_2008_8_August,41,875
Sira_2008_8_August,3,783
Srinivasapur_2008_8_August,1,700
Srirangapattana_2008_8_August,13,820
Tarikere_2008_8_August,64,606
Tumkur_2008_8_August,77,750
Arasikere_2009_1_January,351,773
Bangalore_2009_1_January,190,964
Belur_2009_1_January,30,787
Channagiri_2009_1_January,17,700
Channarayapatna_2009_1_January,36,721
Chikkamagalore_2009_1_January,7,754
Chintamani_2009_1_January,22,775
Davangere_2009_1_January,16,780
Doddaballa Pur_2009_1_January,12,900
Gubbi_2009_1_January,30,868
Harappana Halli_2009_1_January,25,775
Hassan_2009_1_January,135,812
Holenarsipura_2009_1_January,492,656
Hosadurga_2009_1_January,4,720
K.R. Pet_2009_1_January,5,938
K.R.Nagar_2009_1_January,12,800
Kadur_2009_1_January,45,684
Kollegal_2009_1_January,658,940
Madhugiri_2009_1_January,3,883
Mysore (Bandipalya)_2009_1_January,80,831
Nagamangala_2009_1_January,370,900
Piriya Pattana_2009_1_January,18,803
Ranebennur_2009_1_January,22,972
Sira_2009_1_January,14,892
Tarikere_2009_1_January,53,651
Tumkur_2009_1_January,32,888
Arasikere_2009_8_August,327,854
Bangalore_2009_8_August,587,1124
Belur_2009_8_August,8,750
Channarayapatna_2009_8_August,8,800
Davangere_2009_8_August,2,802
Gubbi_2009_8_August,17,888
Holenarsipura_2009_8_August,167,750
Honnali_2009_8_August,7,600
Huliyar_2009_8_August,51,808
Jagalur_2009_8_August,16,900
Kadur_2009_8_August,160,820
Kottur_2009_8_August,1,830
Mysore (Bandipalya)_2009_8_August,168,869
Nagamangala_2009_8_August,307,912
Sira_2009_8_August,5,937
Tarikere_2009_8_August,5,800
Tumkur_2009_8_August,8,900
Arasikere_2010_1_January,561,845
Bangalore_2010_1_January,676,1220
Bhadravathi_2010_1_January,5,775
Channapatana_2010_1_January,6,915
Channarayapatna_2010_1_January,38,824
Chickkaballapura_2010_1_January,43,920
Chikkamagalore_2010_1_January,25,925
Chintamani_2010_1_January,107,957
Davangere_2010_1_January,26,1150
